,algorithm,latent_info,initial_S_key,n_samples,kl_divergence,num_edges,num_nodes,edges
0,alg,informed,none,400,0.08581672969748373,4,5,"[('APOEAllele', 'AD'), ('APOEAllele', 'Hypometabilism'), ('ABProtein', 'CognitiveImpair'), ('CognitiveImpair', 'APOEAllele')]"
1,alg,informed,none,800,6.756714866821896,4,5,"[('AD', 'CognitiveImpair'), ('AD', 'ABProtein'), ('AD', 'APOEAllele'), ('ABProtein', 'Hypometabilism')]"
2,alg,informed,none,1200,0.458743285908514,4,5,"[('AD', 'APOEAllele'), ('AD', 'Hypometabilism'), ('APOEAllele', 'ABProtein'), ('CognitiveImpair', 'AD')]"
3,alg,informed,none,1600,0.5261995029422535,4,5,"[('AD', 'APOEAllele'), ('AD', 'Hypometabilism'), ('ABProtein', 'AD'), ('ABProtein', 'CognitiveImpair')]"
4,alg,informed,none,2000,0.4989481298202261,4,5,"[('Hypometabilism', 'ABProtein'), ('ABProtein', 'CognitiveImpair'), ('CognitiveImpair', 'APOEAllele'), ('CognitiveImpair', 'AD')]"
5,alg,informed,none,2400,0.49926909120898144,4,5,"[('AD', 'APOEAllele'), ('Hypometabilism', 'ABProtein'), ('ABProtein', 'AD'), ('CognitiveImpair', 'Hypometabilism')]"
6,alg,informed,none,2800,0.5019242184608894,4,5,"[('AD', 'APOEAllele'), ('Hypometabilism', 'CognitiveImpair'), ('ABProtein', 'AD'), ('CognitiveImpair', 'ABProtein')]"
7,alg,informed,none,3200,0.49812320432079077,4,5,"[('AD', 'APOEAllele'), ('AD', 'CognitiveImpair'), ('Hypometabilism', 'ABProtein'), ('APOEAllele', 'Hypometabilism')]"
8,alg,informed,none,3600,0.4770691385725695,4,5,"[('APOEAllele', 'CognitiveImpair'), ('APOEAllele', 'AD'), ('APOEAllele', 'Hypometabilism'), ('ABProtein', 'APOEAllele')]"
9,alg,informed,none,4000,0.5289870300839506,5,5,"[('Hypometabilism', 'APOEAllele'), ('Hypometabilism', 'CognitiveImpair'), ('APOEAllele', 'ABProtein'), ('CognitiveImpair', 'AD'), ('CognitiveImpair', 'ABProtein')]"
10,alg,informed,none,4400,0.5038680895125219,4,5,"[('AD', 'CognitiveImpair'), ('AD', 'ABProtein'), ('APOEAllele', 'AD'), ('CognitiveImpair', 'Hypometabilism')]"
11,alg,informed,none,4800,0.5217249658177417,5,5,"[('AD', 'CognitiveImpair'), ('AD', 'APOEAllele'), ('Hypometabilism', 'AD'), ('Hypometabilism', 'ABProtein'), ('ABProtein', 'APOEAllele')]"
12,alg,informed,none,5200,0.5659623681924676,4,5,"[('AD', 'CognitiveImpair'), ('Hypometabilism', 'ABProtein'), ('APOEAllele', 'AD'), ('CognitiveImpair', 'Hypometabilism')]"
13,alg,informed,none,5600,0.4978949397145393,4,5,"[('AD', 'APOEAllele'), ('AD', 'Hypometabilism'), ('CognitiveImpair', 'AD'), ('CognitiveImpair', 'ABProtein')]"
14,alg,informed,none,6000,0.4975095925073245,4,5,"[('AD', 'APOEAllele'), ('Hypometabilism', 'CognitiveImpair'), ('ABProtein', 'AD'), ('CognitiveImpair', 'ABProtein')]"
15,alg,informed,informed,400,0.5492737126129786,5,5,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('APOEAllele', 'AD'), ('APOEAllele', 'ABProtein'), ('CognitiveImpair', 'ABProtein')]"
16,alg,informed,informed,800,0.07626887285285626,5,5,"[('AD', 'Hypometabilism'), ('AD', 'ABProtein'), ('Hypometabilism', 'ABProtein'), ('Hypometabilism', 'CognitiveImpair'), ('APOEAllele', 'AD')]"
17,alg,informed,informed,1200,0.49673849662535974,4,5,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('APOEAllele', 'ABProtein'), ('CognitiveImpair', 'APOEAllele')]"
18,alg,informed,informed,1600,0.487702337495944,5,5,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('Hypometabilism', 'ABProtein'), ('APOEAllele', 'AD'), ('ABProtein', 'CognitiveImpair')]"
19,alg,informed,informed,2000,0.5308814484423776,4,5,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('AD', 'ABProtein'), ('APOEAllele', 'AD')]"
20,alg,informed,informed,2400,0.4788989869877206,4,5,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('Hypometabilism', 'ABProtein'), ('APOEAllele', 'AD')]"
21,alg,informed,informed,2800,0.5613405742980039,4,5,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('Hypometabilism', 'APOEAllele'), ('ABProtein', 'AD')]"
22,alg,informed,informed,3200,0.5003788972088972,4,5,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('Hypometabilism', 'ABProtein'), ('APOEAllele', 'AD')]"
23,alg,informed,informed,3600,0.5246843736951404,5,5,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('Hypometabilism', 'ABProtein'), ('APOEAllele', 'AD'), ('ABProtein', 'CognitiveImpair')]"
24,alg,informed,informed,4000,0.49166939451749814,4,5,"[('AD', 'Hypometabilism'), ('AD', 'ABProtein'), ('APOEAllele', 'AD'), ('APOEAllele', 'CognitiveImpair')]"
25,alg,informed,informed,4400,0.516444331622024,4,5,"[('AD', 'APOEAllele'), ('ABProtein', 'AD'), ('ABProtein', 'CognitiveImpair'), ('CognitiveImpair', 'Hypometabilism')]"
26,alg,informed,informed,4800,0.520752021267123,3,5,"[('AD', 'Hypometabilism'), ('APOEAllele', 'AD'), ('CognitiveImpair', 'ABProtein')]"
27,alg,informed,informed,5200,0.4947512497023749,4,5,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('CognitiveImpair', 'APOEAllele'), ('CognitiveImpair', 'ABProtein')]"
28,alg,informed,informed,5600,0.5109564781877213,4,5,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('Hypometabilism', 'APOEAllele'), ('ABProtein', 'AD')]"
29,alg,informed,informed,6000,0.4737587641075087,4,5,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('Hypometabilism', 'ABProtein'), ('APOEAllele', 'AD')]"
30,alg,informed,tree,400,0.021604362425292317,4,5,"[('CognitiveImpair', 'AD'), ('CognitiveImpair', 'APOEAllele'), ('AD', 'Hypometabilism'), ('Hypometabilism', 'ABProtein')]"
31,alg,informed,tree,800,0.5214884726172374,4,5,"[('Hypometabilism', 'AD'), ('Hypometabilism', 'ABProtein'), ('Hypometabilism', 'APOEAllele'), ('ABProtein', 'CognitiveImpair')]"
32,alg,informed,tree,1200,0.5113494542603619,4,5,"[('Hypometabilism', 'AD'), ('Hypometabilism', 'CognitiveImpair'), ('CognitiveImpair', 'APOEAllele'), ('APOEAllele', 'ABProtein')]"
33,alg,informed,tree,1600,0.46001644479379417,4,5,"[('Hypometabilism', 'APOEAllele'), ('Hypometabilism', 'ABProtein'), ('APOEAllele', 'AD'), ('AD', 'CognitiveImpair')]"
34,alg,informed,tree,2000,0.5056649257319484,4,5,"[('CognitiveImpair', 'AD'), ('CognitiveImpair', 'Hypometabilism'), ('AD', 'APOEAllele'), ('Hypometabilism', 'ABProtein')]"
35,alg,informed,tree,2400,0.528796654144056,5,5,"[('CognitiveImpair', 'AD'), ('CognitiveImpair', 'Hypometabilism'), ('AD', 'ABProtein'), ('Hypometabilism', 'APOEAllele'), ('APOEAllele', 'ABProtein')]"
36,alg,informed,tree,2800,0.47434883765903696,5,5,"[('AD', 'APOEAllele'), ('AD', 'ABProtein'), ('AD', 'Hypometabilism'), ('ABProtein', 'CognitiveImpair'), ('CognitiveImpair', 'APOEAllele')]"
37,alg,informed,tree,3200,0.5207207319668945,4,5,"[('Hypometabilism', 'ABProtein'), ('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'AD'), ('Hypometabilism', 'APOEAllele')]"
38,alg,informed,tree,3600,0.48611235246819456,5,5,"[('ABProtein', 'Hypometabilism'), ('ABProtein', 'CognitiveImpair'), ('Hypometabilism', 'AD'), ('AD', 'APOEAllele'), ('APOEAllele', 'CognitiveImpair')]"
39,alg,informed,tree,4000,0.4912641008913085,4,5,"[('AD', 'ABProtein'), ('AD', 'Hypometabilism'), ('AD', 'APOEAllele'), ('APOEAllele', 'CognitiveImpair')]"
40,alg,informed,tree,4400,0.5137908154478944,4,5,"[('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'AD'), ('Hypometabilism', 'APOEAllele'), ('Hypometabilism', 'ABProtein')]"
41,alg,informed,tree,4800,0.5009856090933545,4,5,"[('CognitiveImpair', 'AD'), ('CognitiveImpair', 'ABProtein'), ('AD', 'APOEAllele'), ('ABProtein', 'Hypometabilism')]"
42,alg,informed,tree,5200,0.5282568036856078,4,5,"[('Hypometabilism', 'APOEAllele'), ('Hypometabilism', 'ABProtein'), ('Hypometabilism', 'AD'), ('AD', 'CognitiveImpair')]"
43,alg,informed,tree,5600,0.4692219493230685,4,5,"[('Hypometabilism', 'APOEAllele'), ('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'AD'), ('Hypometabilism', 'ABProtein')]"
44,alg,informed,tree,6000,0.4613117251124355,4,5,"[('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'AD'), ('AD', 'APOEAllele'), ('AD', 'ABProtein')]"
45,alg,informed,tan,400,0.5025178977312298,4,5,"[('AD', 'CognitiveImpair'), ('Hypometabilism', 'APOEAllele'), ('Hypometabilism', 'AD'), ('ABProtein', 'Hypometabilism')]"
46,alg,informed,tan,800,0.46127341543928946,5,5,"[('AD', 'CognitiveImpair'), ('AD', 'APOEAllele'), ('Hypometabilism', 'AD'), ('ABProtein', 'Hypometabilism'), ('ABProtein', 'APOEAllele')]"
47,alg,informed,tan,1200,0.4253958284488986,3,5,"[('AD', 'APOEAllele'), ('AD', 'ABProtein'), ('ABProtein', 'Hypometabilism')]"
48,alg,informed,tan,1600,0.5026307889284973,5,5,"[('AD', 'Hypometabilism'), ('AD', 'APOEAllele'), ('ABProtein', 'CognitiveImpair'), ('ABProtein', 'AD'), ('CognitiveImpair', 'AD')]"
49,alg,informed,tan,2000,0.5178644768031659,5,5,"[('APOEAllele', 'AD'), ('ABProtein', 'Hypometabilism'), ('ABProtein', 'APOEAllele'), ('ABProtein', 'CognitiveImpair'), ('ABProtein', 'AD')]"
50,alg,informed,tan,2400,0.44869406952606844,4,5,"[('Hypometabilism', 'APOEAllele'), ('Hypometabilism', 'ABProtein'), ('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'AD')]"
51,alg,informed,tan,2800,0.4882947475870059,6,5,"[('AD', 'APOEAllele'), ('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'AD'), ('ABProtein', 'Hypometabilism'), ('ABProtein', 'CognitiveImpair'), ('ABProtein', 'AD')]"
52,alg,informed,tan,3200,0.48061182958343424,4,5,"[('AD', 'APOEAllele'), ('Hypometabilism', 'ABProtein'), ('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'AD')]"
53,alg,informed,tan,3600,0.49176689147535996,4,5,"[('APOEAllele', 'CognitiveImpair'), ('APOEAllele', 'AD'), ('ABProtein', 'Hypometabilism'), ('CognitiveImpair', 'ABProtein')]"
54,alg,informed,tan,4000,0.47422602190509905,5,5,"[('APOEAllele', 'Hypometabilism'), ('APOEAllele', 'ABProtein'), ('APOEAllele', 'CognitiveImpair'), ('APOEAllele', 'AD'), ('CognitiveImpair', 'AD')]"
55,alg,informed,tan,4400,0.46893370880939605,5,5,"[('AD', 'APOEAllele'), ('AD', 'ABProtein'), ('APOEAllele', 'Hypometabilism'), ('CognitiveImpair', 'AD'), ('CognitiveImpair', 'Hypometabilism')]"
56,alg,informed,tan,4800,0.4794967110431751,5,5,"[('AD', 'CognitiveImpair'), ('Hypometabilism', 'APOEAllele'), ('APOEAllele', 'ABProtein'), ('APOEAllele', 'AD'), ('ABProtein', 'AD')]"
57,alg,informed,tan,5200,0.48904762545230035,4,5,"[('AD', 'CognitiveImpair'), ('AD', 'ABProtein'), ('Hypometabilism', 'AD'), ('APOEAllele', 'Hypometabilism')]"
58,alg,informed,tan,5600,0.4765045427621155,4,5,"[('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'APOEAllele'), ('APOEAllele', 'AD'), ('ABProtein', 'Hypometabilism')]"
59,alg,informed,tan,6000,0.5015440562960409,4,5,"[('AD', 'Hypometabilism'), ('AD', 'APOEAllele'), ('AD', 'CognitiveImpair'), ('Hypometabilism', 'ABProtein')]"
60,alg,informed,random,400,0.4939367228777777,4,5,"[('AD', 'CognitiveImpair'), ('APOEAllele', 'ABProtein'), ('APOEAllele', 'AD'), ('CognitiveImpair', 'Hypometabilism')]"
61,alg,informed,random,800,0.48578011968044255,4,5,"[('AD', 'APOEAllele'), ('ABProtein', 'CognitiveImpair'), ('ABProtein', 'Hypometabilism'), ('CognitiveImpair', 'AD')]"
62,alg,informed,random,1200,0.5373869227127089,4,5,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('APOEAllele', 'AD'), ('ABProtein', 'APOEAllele')]"
63,alg,informed,random,1600,0.5005676964470378,5,5,"[('AD', 'ABProtein'), ('AD', 'CognitiveImpair'), ('APOEAllele', 'AD'), ('APOEAllele', 'ABProtein'), ('CognitiveImpair', 'Hypometabilism')]"
64,alg,informed,random,2000,0.48005361232359584,4,5,"[('CognitiveImpair', 'AD'), ('CognitiveImpair', 'Hypometabilism'), ('CognitiveImpair', 'APOEAllele'), ('CognitiveImpair', 'ABProtein')]"
65,alg,informed,random,2400,0.5150692982350903,6,5,"[('AD', 'APOEAllele'), ('Hypometabilism', 'APOEAllele'), ('Hypometabilism', 'AD'), ('APOEAllele', 'ABProtein'), ('CognitiveImpair', 'Hypometabilism'), ('CognitiveImpair', 'ABProtein')]"
66,alg,informed,random,2800,0.49866440940675166,4,5,"[('AD', 'Hypometabilism'), ('AD', 'APOEAllele'), ('CognitiveImpair', 'AD'), ('CognitiveImpair', 'ABProtein')]"
67,alg,informed,random,3200,0.48746294093425,4,5,"[('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'APOEAllele'), ('Hypometabilism', 'ABProtein'), ('APOEAllele', 'AD')]"
68,alg,informed,random,3600,0.541094819237375,4,5,"[('AD', 'ABProtein'), ('AD', 'APOEAllele'), ('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair')]"
69,alg,informed,random,4000,0.46037872316836076,4,5,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('AD', 'APOEAllele'), ('APOEAllele', 'ABProtein')]"
70,alg,informed,random,4400,0.5528806385432694,5,5,"[('AD', 'APOEAllele'), ('AD', 'ABProtein'), ('Hypometabilism', 'AD'), ('ABProtein', 'CognitiveImpair'), ('CognitiveImpair', 'APOEAllele')]"
71,alg,informed,random,4800,0.5064099032588619,4,5,"[('Hypometabilism', 'CognitiveImpair'), ('ABProtein', 'APOEAllele'), ('ABProtein', 'Hypometabilism'), ('ABProtein', 'AD')]"
72,alg,informed,random,5200,0.4955912633879697,5,5,"[('AD', 'APOEAllele'), ('Hypometabilism', 'ABProtein'), ('APOEAllele', 'Hypometabilism'), ('CognitiveImpair', 'AD'), ('CognitiveImpair', 'Hypometabilism')]"
73,alg,informed,random,5600,0.47173755921773464,4,5,"[('AD', 'APOEAllele'), ('Hypometabilism', 'AD'), ('Hypometabilism', 'ABProtein'), ('CognitiveImpair', 'Hypometabilism')]"
74,alg,informed,random,6000,0.5466976936259795,4,5,"[('Hypometabilism', 'AD'), ('Hypometabilism', 'ABProtein'), ('APOEAllele', 'Hypometabilism'), ('CognitiveImpair', 'APOEAllele')]"
75,bma,informed,none,400,7.07319487664812,4,5,"[('APOEAllele', 'Hypometabilism'), ('Hypometabilism', 'CognitiveImpair'), ('CognitiveImpair', 'AD'), ('AD', 'ABProtein')]"
76,bma,informed,none,800,0.469469889153364,4,5,"[('APOEAllele', 'AD'), ('APOEAllele', 'ABProtein'), ('AD', 'CognitiveImpair'), ('CognitiveImpair', 'Hypometabilism')]"
77,bma,informed,none,1200,0.5290364231091607,3,4,"[('CognitiveImpair', 'Hypometabilism'), ('Hypometabilism', 'ABProtein'), ('AD', 'CognitiveImpair')]"
78,bma,informed,none,1600,0.4933877402303575,4,5,"[('AD', 'CognitiveImpair'), ('CognitiveImpair', 'Hypometabilism'), ('Hypometabilism', 'ABProtein'), ('APOEAllele', 'AD')]"
79,bma,informed,none,2000,0.4743691810711788,4,5,"[('APOEAllele', 'ABProtein'), ('APOEAllele', 'AD'), ('ABProtein', 'Hypometabilism'), ('AD', 'CognitiveImpair')]"
80,bma,informed,none,2400,0.46943785871066007,4,5,"[('ABProtein', 'CognitiveImpair'), ('ABProtein', 'Hypometabilism'), ('AD', 'ABProtein'), ('APOEAllele', 'AD')]"
