,algorithm,initial_S_key,kl_divergence
21,tabu,none,0.43982551194845604
17,bma_rr,random,0.4488062550329742
26,tabu_lim,none,0.45059858443244305
8,bma,tan,0.4641027682983395
29,tabu_lim,tree,0.46479267360073495
20,tabu,informed,0.466261522730068
4,alg,tree,0.46632888264136574
7,bma,random,0.47118108759734195
15,bma_rr,informed,0.4722489786017361
28,tabu_lim,tan,0.4760426369504638
24,tabu,tree,0.4799907690254056
3,alg,tan,0.4805868407860717
0,alg,informed,0.48096666264156857
11,bma_lim_tabu,none,0.4810277582098632
9,bma,tree,0.4811731640545892
27,tabu_lim,random,0.48260728525910873
14,bma_lim_tabu,tree,0.4908208648782475
10,bma_lim_tabu,informed,0.4912383270368855
23,tabu,tan,0.4920550568567134
13,bma_lim_tabu,tan,0.49498211731114444
22,tabu,random,0.5020750430764053
2,alg,random,0.5049141548704804
18,bma_rr,tan,0.5399781551135434
16,bma_rr,none,0.8684635352510243
1,alg,none,0.8945836769054767
5,bma,informed,0.9057015946325103
19,bma_rr,tree,0.9129056296477885
6,bma,none,0.9398850239485752
12,bma_lim_tabu,random,0.9471499155524937
25,tabu_lim,informed,0.961745773750366
